Experiment,time,OD
glu-0-5-first,12:24,0.017
glu-0-5-first,14:36,0.023
glu-0-5-first,15:54,0.036
glu-0-5-first,17:30,0.064
glu-0-5-first,20:25,0.150
glu-5,12:33,0.006
glu-5,14:36,0.012
glu-5,16:33,0.021
glu-5,20:33,0.118
glu-50,12:29,0.017
glu-50,14:05,0.026
glu-50,16:01,0.061
glu-50,18:07,0.152
glu-50,20:03,0.384
glu-50,20:29,0.481
glu-100,12:27,0.008
glu-100,14:04,0.015
glu-100,16:03,0.034
glu-100,18:51,0.118
glu-100,20:27,0.233
glu-200,12:51,0.012
glu-200,15:29,0.034
glu-200,17:07,0.074
glu-200,19:10,0.192
glu-200,20:50,0.440
glu-0,13:18,0.213
glu-0,15:47,0.214
glu-0,17:25,0.203
glu-0,19:11,0.210
glu-0,21:17,0.213
glu-0-5,12:34,0.178
glu-0-5,14:36,0.263
glu-0-5,15:35,0.310
glu-0-5,17:34,0.381
glu-0-5,19:35,0.460
glu-0-5,20:35,0.467